"","price","lotsize","bedrooms","bathrms","stories","driveway","recroom","fullbase","gashw","airco","garagepl","prefarea"
"1",42000,5850,3,1,2,"yes","no","yes","no","no",1,"no"
"2",38500,4000,2,1,1,"yes","no","no","no","no",0,"no"
"3",49500,3060,3,1,1,"yes","no","no","no","no",0,"no"
"4",60500,6650,3,1,2,"yes","yes","no","no","no",0,"no"
"5",61000,6360,2,1,1,"yes","no","no","no","no",0,"no"
"6",66000,4160,3,1,1,"yes","yes","yes","no","yes",0,"no"
"7",66000,3880,3,2,2,"yes","no","yes","no","no",2,"no"
"8",69000,4160,3,1,3,"yes","no","no","no","no",0,"no"
"9",83800,4800,3,1,1,"yes","yes","yes","no","no",0,"no"
"10",88500,5500,3,2,4,"yes","yes","no","no","yes",1,"no"
"11",90000,7200,3,2,1,"yes","no","yes","no","yes",3,"no"
"12",30500,3000,2,1,1,"no","no","no","no","no",0,"no"
"13",27000,1700,3,1,2,"yes","no","no","no","no",0,"no"
"14",36000,2880,3,1,1,"no","no","no","no","no",0,"no"
"15",37000,3600,2,1,1,"yes","no","no","no","no",0,"no"
"16",37900,3185,2,1,1,"yes","no","no","no","yes",0,"no"
"17",40500,3300,3,1,2,"no","no","no","no","no",1,"no"
"18",40750,5200,4,1,3,"yes","no","no","no","no",0,"no"
"19",45000,3450,1,1,1,"yes","no","no","no","no",0,"no"
"20",45000,3986,2,2,1,"no","yes","yes","no","no",1,"no"
"21",48500,4785,3,1,2,"yes","yes","yes","no","yes",1,"no"
"22",65900,4510,4,2,2,"yes","no","yes","no","no",0,"no"
"23",37900,4000,3,1,2,"yes","no","no","no","yes",0,"no"
"24",38000,3934,2,1,1,"yes","no","no","no","no",0,"no"
"25",42000,4960,2,1,1,"yes","no","no","no","no",0,"no"
"26",42300,3000,2,1,2,"yes","no","no","no","no",0,"no"
"27",43500,3800,2,1,1,"yes","no","no","no","no",0,"no"
"28",44000,4960,2,1,1,"yes","no","yes","no","yes",0,"no"
"29",44500,3000,3,1,1,"no","no","no","no","yes",0,"no"
"30",44900,4500,3,1,2,"yes","no","no","no","yes",0,"no"
"31",45000,3500,2,1,1,"no","no","yes","no","no",0,"no"
"32",48000,3500,4,1,2,"yes","no","no","no","yes",2,"no"
"33",49000,4000,2,1,1,"yes","no","no","no","no",0,"no"
"34",51500,4500,2,1,1,"yes","no","no","no","no",0,"no"
"35",61000,6360,2,1,2,"yes","no","no","no","no",0,"no"
"36",61000,4500,2,1,1,"yes","no","no","no","yes",2,"no"
"37",61700,4032,2,1,1,"yes","no","yes","no","no",0,"no"
"38",67000,5170,3,1,4,"yes","no","no","no","yes",0,"no"
"39",82000,5400,4,2,2,"yes","no","no","no","yes",2,"no"
"40",54500,3150,2,2,1,"no","no","yes","no","no",0,"no"
"41",66500,3745,3,1,2,"yes","no","yes","no","no",0,"no"
"42",70000,4520,3,1,2,"yes","no","yes","no","yes",0,"no"
"43",82000,4640,4,1,2,"yes","no","no","no","no",1,"no"
"44",92000,8580,5,3,2,"yes","no","no","no","no",2,"no"
"45",38000,2000,2,1,2,"yes","no","no","no","no",0,"no"
"46",44000,2160,3,1,2,"no","no","yes","no","no",0,"no"
"47",41000,3040,2,1,1,"no","no","no","no","no",0,"no"
"48",43000,3090,3,1,2,"no","no","no","no","no",0,"no"
"49",48000,4960,4,1,3,"no","no","no","no","no",0,"no"
"50",54800,3350,3,1,2,"yes","no","no","no","no",0,"no"
"51",55000,5300,5,2,2,"yes","no","no","no","no",0,"no"
"52",57000,4100,4,1,1,"no","no","yes","no","no",0,"no"
"53",68000,9166,2,1,1,"yes","no","yes","no","yes",2,"no"
"54",95000,4040,3,1,2,"yes","no","yes","yes","no",1,"no"
"55",38000,3630,3,3,2,"no","yes","no","no","no",0,"no"
"56",25000,3620,2,1,1,"yes","no","no","no","no",0,"no"
"57",25245,2400,3,1,1,"no","no","no","no","no",0,"no"
"58",56000,7260,3,2,1,"yes","yes","yes","no","no",3,"no"
"59",35500,4400,3,1,2,"yes","no","no","no","no",0,"no"
"60",30000,2400,3,1,2,"yes","no","no","no","no",0,"no"
"61",48000,4120,2,1,2,"yes","no","no","no","no",0,"no"
"62",48000,4750,2,1,1,"yes","no","no","no","no",0,"no"
"63",52000,4280,2,1,1,"yes","no","no","no","yes",2,"no"
"64",54000,4820,3,1,2,"yes","no","no","no","no",0,"no"
"65",56000,5500,4,1,2,"yes","yes","yes","no","no",0,"no"
"66",60000,5500,3,1,2,"yes","no","no","no","yes",0,"no"
"67",60000,5040,3,1,2,"yes","no","yes","no","yes",0,"no"
"68",67000,6000,2,1,1,"yes","no","yes","no","yes",1,"no"
"69",47000,2500,2,1,1,"no","no","no","no","yes",0,"no"
"70",70000,4095,3,1,2,"no","yes","yes","no","yes",0,"no"
"71",45000,4095,2,1,1,"yes","no","no","no","no",2,"no"
"72",51000,3150,3,1,2,"yes","no","yes","no","no",0,"no"
"73",32500,1836,2,1,1,"no","no","yes","no","no",0,"no"
"74",34000,2475,3,1,2,"yes","no","no","no","no",0,"no"
"75",35000,3210,3,1,2,"yes","no","yes","no","no",0,"no"
"76",36000,3180,3,1,1,"no","no","no","no","no",0,"no"
"77",45000,1650,3,1,2,"no","no","yes","no","no",0,"no"
"78",47000,3180,4,1,2,"yes","no","yes","no","yes",0,"no"
"79",55000,3180,2,2,1,"yes","no","yes","no","no",2,"no"
"80",63900,6360,2,1,1,"yes","no","yes","no","yes",1,"no"
"81",50000,4240,3,1,2,"yes","no","no","no","yes",0,"no"
"82",35000,3240,2,1,1,"no","yes","no","no","no",1,"no"
"83",50000,3650,3,1,2,"yes","no","no","no","no",0,"no"
"84",43000,3240,3,1,2,"yes","no","no","no","no",2,"no"
"85",55500,3780,2,1,2,"yes","yes","yes","no","no",0,"no"
"86",57000,6480,3,1,2,"no","no","no","no","yes",1,"no"
"87",60000,5850,2,1,1,"yes","yes","yes","no","no",2,"no"
"88",78000,3150,3,2,1,"yes","yes","yes","no","yes",0,"no"
"89",35000,3000,2,1,1,"yes","no","no","no","no",1,"no"
"90",44000,3090,2,1,1,"yes","yes","yes","no","no",0,"no"
"91",47000,6060,3,1,1,"yes","yes","yes","no","no",0,"no"
"92",58000,5900,4,2,2,"no","no","yes","no","no",1,"no"
"93",163000,7420,4,1,2,"yes","yes","yes","no","yes",2,"no"
"94",128000,8500,3,2,4,"yes","no","no","no","yes",2,"no"
"95",123500,8050,3,1,1,"yes","yes","yes","no","yes",1,"no"
"96",39000,6800,2,1,1,"yes","no","no","no","no",0,"no"
"97",53900,8250,3,1,1,"yes","no","no","no","no",2,"no"
"98",59900,8250,3,1,1,"yes","no","yes","no","no",3,"no"
"99",35000,3500,2,1,1,"yes","yes","no","no","no",0,"no"
"100",43000,2835,2,1,1,"yes","no","no","no","no",0,"no"
